ipo_symbol,upstox_symbol,name,instrument_key,match_type
ADVENTHTL,ADVENTHTL,Advent Hotels International Limited,NSE_EQ|INE28GN01010,exact
CANHLIFE,CANHLIFE,Canara HSBC Life Insurance Company Limited,NSE_EQ|INE01TY01017,exact
CRAMC,CRAMC,Canara Robeco Asset Management Company Limited,NSE_EQ|INE218I01013,exact
FABTECH,FABTECH,Fabtech Technologies Limited,NSE_EQ|INE0HF201011,exact
GLOTTIS,GLOTTIS,Glottis Limited,NSE_EQ|INE0TQE01026,exact
GROWW,GROWW,Billionbrains Garage Ventures Limited,NSE_EQ|INE0HOQ01053,exact
LENSKART,LENSKART,Lenskart Solutions Limited,NSE_EQ|INE956O01016,exact
LGEINDIA,LGEINDIA,LG Electronics India Limited,NSE_EQ|INE324D01010,exact
MARKOLINES,MARKOLINES,Markolines Pavement Technologies Limited,NSE_EQ|INE0FW001016,exact
MIDWESTLTD,MIDWESTLTD,Midwest Limited,NSE_EQ|INE0XAD01024,exact
MONEYBOXX,MONEYBOXX,Moneyboxx Finance Limited,NSE_EQ|INE296Q01012,exact
OMFREIGHT,OMFREIGHT,Om Freight Forwarders Limited,NSE_EQ|INE1BZC01019,exact
ORKLAINDIA,ORKLAINDIA,Orkla India Limited,NSE_EQ|INE16NZ01023,exact
PACEDIGITK,PACEDIGITK,Pace Digitek Limited,NSE_EQ|INE0S3G01027,exact
PIRAMALFIN,PIRAMALFIN,Piramal Finance Limited,NSE_EQ|INE202B01038,exact
RUBICON,RUBICON,Rubicon Research Limited,NSE_EQ|INE506V01022,exact
SOLEX,SOLEX,Solex Energy Limited,NSE_EQ|INE880Y01017,exact
STUDDS,STUDDS,Studds Accessories Limited,NSE_EQ|INE00Q601028,exact
TATACAP,TATACAP,Tata Capital Limited,NSE_EQ|INE976I01016,exact
TMCV,TMCV,Tata Motors Limited,NSE_EQ|INE1TAE01010,exact
WEWORK,WEWORK,WeWork India Management Limited,NSE_EQ|INE085001019,exact
AEQUS,AEQUS,Aequs Limited,NSE_EQ|INE947N01017,exact
BETA,BETA,Beta Drugs Limited,NSE_EQ|INE351Y01019,exact
